Date,Price
03/11/2021,"1,207.00"
03/10/2021,"1,206.60"
03/09/2021,"1,180.00"
03/08/2021,"1,156.60"
03/07/2021,"1,142.45"
03/05/2021,"1,132.90"
03/04/2021,"1,139.90"
03/03/2021,"1,186.60"
03/02/2021,"1,218.60"
03/01/2021,"1,195.10"
02/28/2021,"1,205.25"
02/26/2021,"1,189.30"
02/25/2021,"1,235.70"
02/24/2021,"1,259.20"
02/23/2021,"1,244.10"
02/22/2021,"1,286.40"
02/21/2021,"1,297.60"
02/19/2021,"1,297.10"
02/18/2021,"1,278.30"
02/17/2021,"1,261.40"
02/16/2021,"1,282.90"
02/15/2021,"1,318.75"
02/14/2021,"1,271.45"
02/12/2021,"1,261.50"
02/11/2021,"1,249.80"
02/10/2021,"1,249.70"
02/09/2021,"1,196.60"
02/08/2021,"1,177.30"
02/07/2021,"1,145.40"
02/05/2021,"1,136.10"
02/04/2021,"1,105.20"
02/03/2021,"1,116.90"
02/02/2021,"1,097.80"
02/01/2021,"1,140.30"
01/31/2021,"1,098.10"
01/29/2021,"1,083.40"
01/28/2021,"1,076.50"
01/27/2021,"1,079.00"
01/26/2021,"1,107.40"
01/25/2021,"1,104.70"
01/24/2021,"1,112.35"
01/22/2021,"1,111.60"
01/21/2021,"1,128.00"
01/20/2021,"1,116.40"
01/19/2021,"1,092.00"
01/18/2021,"1,098.10"
01/17/2021,"1,072.30"
01/15/2021,"1,089.90"
01/14/2021,"1,126.40"
01/13/2021,"1,110.70"
01/12/2021,"1,067.80"
01/11/2021,"1,044.60"
01/10/2021,"1,055.80"
01/08/2021,"1,071.30"
01/07/2021,"1,124.60"
01/06/2021,"1,110.20"
01/05/2021,"1,119.60"
01/04/2021,"1,071.50"
01/03/2021,"1,091.10"
01/01/2021,"1,079.50"
12/31/2020,"1,079.20"
12/30/2020,"1,078.50"
12/29/2020,"1,060.70"
12/28/2020,"1,049.10"
12/27/2020,"1,047.20"
12/24/2020,"1,035.00"
12/23/2020,"1,023.90"
12/22/2020,"1,015.80"
12/21/2020,"1,021.70"
12/20/2020,"1,044.50"
12/18/2020,"1,049.00"
12/17/2020,"1,055.80"
12/16/2020,"1,040.70"
12/15/2020,"1,044.10"
12/14/2020,"1,020.20"
12/13/2020,"1,025.55"
12/11/2020,"1,026.30"
12/10/2020,"1,031.70"
12/09/2020,"1,022.40"
12/08/2020,"1,041.00"
12/07/2020,"1,053.50"
12/06/2020,"1,059.15"
12/04/2020,"1,076.40"
12/03/2020,"1,042.00"
12/02/2020,"1,016.10"
12/01/2020,"1,008.30"
11/30/2020,970.5
11/29/2020,971.05
11/27/2020,970.3
11/26/2020,965.05
11/25/2020,971.3
11/24/2020,962.8
11/23/2020,935.9
11/22/2020,952.95
11/20/2020,961.1
11/19/2020,954.5
11/18/2020,953.7
11/17/2020,940.8
11/16/2020,931.3
11/15/2020,896.55
11/13/2020,900
11/12/2020,887.6
11/11/2020,871.8
11/10/2020,896.3
11/09/2020,870.4
11/08/2020,906
11/06/2020,902.8
11/05/2020,902.8
11/04/2020,873.2
11/03/2020,877.8
11/02/2020,863.3
11/01/2020,841.25
10/30/2020,852.4
10/29/2020,853.8
10/28/2020,875
10/27/2020,886.8
10/26/2020,877.4
10/25/2020,903.15
10/23/2020,906.7
10/22/2020,884
10/21/2020,893.9
10/20/2020,877.3
10/19/2020,863.5
10/18/2020,867.45
10/16/2020,869.3
10/15/2020,861.3
10/14/2020,863.4
10/13/2020,873.3
10/12/2020,876.3
10/11/2020,891.65
10/09/2020,894.3
10/08/2020,864
10/07/2020,866.8
10/06/2020,870.3
10/05/2020,904.7
10/04/2020,893.05
10/02/2020,891.4
